groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
1,2,2,1,1,28,29,26,23,16,11,28,17,553,839,307,111
2,2,1,2,1,18,27,30,22,16,21,13,31,975,412,656,161
3,2,1,1,2,33,28,24,34,21,28,31,19,831,404,200,646
4,2,1,1,2,32,33,23,28,21,17,10,22,653,499,266,565
5,1,1,2,2,20,34,20,12,33,16,23,32,16,45,538,711
6,1,2,2,1,31,27,35,25,36,30,46,28,153,934,625,105
7,2,1,2,1,40,16,31,31,14,29,25,24,874,462,710,403
8,1,1,2,2,35,25,28,24,31,42,30,23,480,215,778,560
9,1,2,1,2,18,28,27,36,30,22,18,29,29,796,49,925
10,2,1,1,2,24,36,27,24,25,17,27,34,827,254,107,639
11,1,1,2,2,27,29,36,22,24,10,46,17,475,166,713,957
12,2,1,2,1,24,26,32,28,12,17,33,38,658,15,846,345
13,2,1,1,2,33,27,32,38,26,29,24,34,894,235,40,761
14,2,1,1,2,37,29,28,25,13,28,19,6,578,233,457,576
15,2,1,1,2,36,33,30,28,18,27,18,18,638,333,104,533
16,2,1,2,1,27,31,29,33,22,22,21,16,574,280,555,8
17,1,1,2,2,35,43,31,23,21,28,25,36,188,467,774,675
18,1,2,1,2,15,31,29,26,43,12,33,17,355,909,23,807
19,2,2,1,1,37,35,26,29,29,43,27,31,799,769,399,352
20,2,1,1,2,32,22,25,24,25,19,27,20,595,377,163,938
21,2,1,1,2,30,21,27,27,15,22,31,36,629,481,209,890
22,2,1,1,2,32,29,23,26,26,24,34,36,929,251,244,821
23,1,2,1,2,35,19,32,31,20,6,28,29,227,580,366,601
24,2,1,2,1,17,26,36,32,18,43,27,34,660,437,996,290
25,1,1,2,2,24,37,28,25,36,22,16,25,79,234,522,515
26,1,2,1,2,24,27,32,23,11,28,36,34,485,901,332,505
27,1,1,2,2,29,28,26,25,12,31,31,34,252,422,986,875
28,2,1,1,2,29,26,30,23,40,36,19,8,615,117,398,528
29,1,2,2,1,24,25,20,34,18,28,28,32,375,867,830,226
30,2,2,1,1,33,17,34,27,32,12,17,26,659,695,190,318
31,1,2,2,1,18,33,29,28,29,23,28,29,136,979,899,197
32,1,1,2,2,31,29,30,32,34,14,24,35,171,299,895,696
33,1,1,2,2,22,31,31,25,19,21,19,26,62,281,636,772
34,2,1,2,1,30,29,24,30,47,27,36,16,633,340,841,455
35,2,1,2,1,22,32,35,16,1,24,-2,14,532,55,627,94
36,2,1,2,1,27,27,26,26,24,26,34,29,961,312,876,486
37,2,2,1,1,23,30,26,18,14,30,43,31,650,887,463,297
38,2,2,1,1,35,32,22,32,34,32,16,37,587,885,37,286
39,1,2,2,1,29,19,31,27,28,22,44,49,173,596,897,441
40,1,2,2,1,25,28,30,22,35,1,31,23,51,775,583,218
41,1,2,1,2,24,31,28,33,33,48,25,42,220,725,360,594
42,2,2,1,1,16,24,28,31,50,26,7,56,733,698,17,400
43,2,1,2,1,29,24,30,23,30,31,30,48,973,282,728,24
44,1,2,2,1,33,29,27,28,26,23,28,33,158,647,705,395
45,2,1,1,2,30,31,37,25,42,26,24,28,573,491,392,634
46,1,2,1,2,23,31,18,30,13,32,29,8,358,554,155,797
47,1,1,2,2,21,24,24,28,36,37,20,30,46,495,798,579
48,2,1,1,2,31,31,28,29,28,27,34,45,853,329,415,926
49,2,2,1,1,21,31,40,39,29,31,18,3,511,697,4,247
50,1,1,2,2,26,19,23,26,41,25,26,14,170,75,954,927
51,1,2,2,1,21,34,35,19,34,6,36,15,466,642,868,368
52,2,1,2,1,24,33,25,23,16,38,32,33,628,445,543,289
53,1,2,2,1,29,33,27,35,6,42,51,34,43,709,780,434
54,1,1,2,2,20,24,20,22,18,8,4,34,347,154,1000,539
55,2,1,1,2,26,26,23,20,40,33,26,16,983,394,93,521
56,1,1,2,2,24,32,37,36,17,12,39,37,452,68,936,527
57,1,2,1,2,30,17,27,28,37,25,22,50,426,720,42,581
58,1,2,2,1,24,27,30,32,30,31,21,41,361,898,501,257
59,1,2,1,2,26,35,36,33,37,43,10,12,128,881,28,535
60,1,2,2,1,26,27,25,25,20,32,29,29,134,755,562,202
61,2,1,2,1,27,22,32,25,10,27,23,13,873,268,721,255
62,2,1,2,1,39,19,18,27,29,40,31,46,552,86,620,264
63,1,1,2,2,32,27,22,29,14,39,34,27,470,126,814,863
64,1,1,2,2,34,28,34,39,16,19,27,31,26,448,717,763
65,2,2,1,1,24,27,32,30,25,33,22,30,559,981,89,131
66,1,2,1,2,23,31,16,32,20,22,41,32,98,502,469,787
67,1,2,2,1,22,37,19,33,30,41,25,3,32,913,640,487
68,1,2,2,1,24,25,35,24,24,36,38,29,132,970,643,96
69,1,2,2,1,33,27,30,30,30,32,21,35,494,668,759,362
70,1,1,2,2,31,33,25,25,28,34,16,41,328,146,989,976
71,2,2,1,1,26,27,25,27,19,12,33,39,520,956,101,208
72,1,2,1,2,15,27,29,32,14,32,19,30,145,964,401,803
73,1,1,2,2,28,36,34,33,29,8,35,24,346,258,729,654
74,1,2,1,2,23,27,31,18,22,20,21,17,10,840,393,699
75,1,1,2,2,31,27,30,32,20,23,12,35,406,444,617,958
76,2,1,2,1,17,28,24,23,40,26,36,24,823,284,750,388
77,2,1,2,1,26,30,25,25,24,47,19,28,685,305,704,341
78,2,1,1,2,30,26,30,27,32,35,32,28,910,130,143,991
79,1,2,2,1,22,19,30,27,41,47,28,32,418,773,824,11
80,2,1,2,1,16,24,31,25,36,41,16,36,940,150,743,124
81,2,1,2,1,27,37,32,21,34,52,24,24,622,84,997,106
82,1,2,2,1,29,34,32,32,32,20,27,30,275,746,673,83
83,1,1,2,2,28,28,26,25,9,27,24,17,196,458,822,919
84,2,1,2,1,18,27,21,24,29,58,19,21,655,324,924,351
85,2,2,1,1,27,21,30,42,41,29,24,27,971,605,321,147
86,1,1,2,2,30,39,37,28,23,28,8,20,58,322,726,548
87,1,1,2,2,23,22,26,28,25,33,14,23,165,354,914,952
88,1,2,1,2,31,25,25,25,35,21,18,34,483,783,331,906
89,1,1,2,2,33,27,29,36,24,-3,31,26,72,7,882,667
90,2,2,1,1,29,34,32,23,32,24,34,53,930,937,125,335
91,1,2,2,1,32,22,23,26,30,19,13,32,103,624,764,156
92,1,1,2,2,21,22,30,25,33,16,30,34,397,283,944,716
93,2,1,2,1,27,15,35,18,21,29,29,44,809,479,635,185
94,1,2,2,1,20,31,23,23,42,17,34,11,309,877,962,230
95,2,1,1,2,29,22,29,34,18,26,24,33,712,279,300,598
96,2,2,1,1,37,21,33,28,34,20,25,52,795,928,259,411
97,2,2,1,1,33,30,27,29,22,19,15,33,771,570,123,172
98,1,2,1,2,24,28,41,36,17,19,24,42,446,597,274,784
99,2,1,1,2,25,22,30,22,35,17,29,27,932,277,140,739
100,1,2,2,1,29,32,30,25,37,24,17,15,122,747,892,71
101,1,1,2,2,28,31,22,23,21,43,23,26,201,222,714,811
102,2,2,1,1,23,27,34,27,35,52,22,28,749,947,357,175
103,2,1,1,2,31,28,30,27,30,28,29,24,614,204,288,786
104,2,1,1,2,29,19,20,22,33,24,27,22,767,439,342,766
105,1,1,2,2,20,27,36,22,24,26,23,29,490,148,670,836
106,1,1,2,2,29,27,29,22,29,-7,3,37,225,376,872,845
107,1,2,2,1,28,25,25,30,29,44,23,31,2,618,995,384
108,1,1,2,2,30,25,27,25,17,36,27,32,323,389,815,812
109,1,2,2,1,30,24,24,24,30,31,44,42,239,782,790,353
110,1,2,1,2,23,19,30,25,35,36,28,26,304,941,385,969
111,1,2,1,2,29,27,23,29,35,36,30,35,420,510,447,984
112,1,2,2,1,32,37,27,31,22,33,36,35,273,905,652,301
113,1,2,1,2,28,26,34,27,34,23,39,20,219,842,454,680
114,2,1,2,1,20,16,29,27,32,24,35,29,599,186,591,34
115,2,1,2,1,21,35,24,15,25,39,25,35,883,110,793,314
116,1,2,2,1,26,23,17,23,17,23,40,50,206,949,742,436
117,2,2,1,1,29,31,33,23,28,36,34,23,584,923,210,237
118,1,2,1,2,28,25,22,23,37,15,23,16,270,679,14,816
119,2,1,1,2,34,29,25,16,34,28,48,41,563,367,114,693
120,1,2,2,1,30,21,39,28,6,14,37,31,77,687,508,380
121,1,1,2,2,28,27,24,16,19,36,32,28,13,3,880,734
122,1,2,1,2,26,28,27,28,32,32,16,15,182,791,421,641
123,1,2,1,2,19,35,32,27,33,23,29,18,500,765,253,760
124,2,1,1,2,30,17,29,24,19,19,25,24,572,369,267,613
125,1,2,2,1,27,27,21,30,24,28,30,42,365,992,878,371
126,1,2,2,1,33,30,22,28,26,19,36,36,31,536,683,236
127,1,2,2,1,28,18,24,29,26,5,27,22,33,802,918,212
128,2,1,2,1,28,21,27,38,14,29,38,31,546,291,556,95
129,2,1,1,2,27,30,29,29,13,38,30,10,671,272,488,931
130,1,2,1,2,29,25,32,22,36,25,28,20,320,859,295,545
131,2,2,1,1,40,23,39,19,34,24,30,19,606,756,59,211
132,1,1,2,2,30,24,17,31,27,31,31,17,265,21,514,740
133,1,2,2,1,29,18,24,27,29,36,32,4,194,907,835,311
134,1,2,1,2,28,32,22,22,43,33,28,15,250,972,246,608
135,2,1,1,2,25,20,23,30,30,34,14,20,754,484,241,689
136,2,1,2,1,38,26,36,20,40,43,30,21,610,112,865,127
137,2,1,1,2,22,24,30,28,14,35,36,29,724,435,67,715
138,1,2,2,1,21,29,30,32,19,17,48,28,364,730,757,35
139,1,2,1,2,31,27,18,29,37,33,33,45,189,735,12,702
140,1,2,2,1,27,36,33,29,35,32,23,40,184,801,623,229
141,2,1,1,2,27,23,24,24,28,39,23,33,960,339,461,942
142,2,2,1,1,33,30,28,27,33,39,18,34,911,547,53,73
143,1,1,2,2,22,27,31,24,13,27,16,28,338,207,544,993
144,1,1,2,2,24,30,29,30,7,27,41,33,118,121,589,542
145,1,2,1,2,31,32,33,27,25,34,31,31,249,524,213,537
146,2,2,1,1,27,22,29,29,31,38,24,25,779,955,410,269
147,2,2,1,1,27,32,30,22,33,7,37,24,631,825,348,413
148,1,2,2,1,35,29,17,27,21,25,11,28,414,770,681,63
149,2,1,2,1,27,24,28,27,41,12,7,33,788,27,792,157
150,2,1,1,2,30,13,26,39,35,16,22,18,856,294,9,966
151,2,1,1,2,35,28,23,22,45,21,21,7,630,240,65,692
152,2,1,2,1,25,26,19,25,32,19,40,34,707,477,851,159
153,2,1,2,1,20,25,31,30,26,11,38,26,519,174,871,181
154,1,2,1,2,26,25,13,38,18,13,26,37,474,569,214,512
155,2,1,1,2,33,23,30,23,47,22,16,25,612,315,476,708
156,1,2,2,1,26,19,30,24,38,25,36,52,144,916,939,471
157,1,2,2,1,24,20,26,27,25,26,20,39,91,888,526,497
158,1,2,1,2,26,29,33,33,37,15,24,40,396,677,317,694
159,1,2,2,1,19,28,21,27,17,29,41,47,296,649,632,308
160,1,2,2,1,25,29,32,23,40,21,18,23,350,607,727,425
161,2,1,1,2,23,21,29,26,29,14,23,31,990,120,302,861
162,1,2,2,1,27,31,21,13,28,11,20,37,428,507,582,278
