groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,participantlabel1,participantlabel2,participantlabel3,participantlabel4
1,0,0,0,0,24,19,10,10,19,24,14,4,67657d4bd50d390b8e785097,5b5e0e86902ad10001cfcc59,5f9b6cc0e01ad13902b38f60,6738bbb49b751f21694bb4af
2,0,0,0,0,3,6,8,19,8,8,13,12,67f2c5c7fefa74ee8445f68d,6781faa83e147cbd160d2409,6670353ac57bde82f17234a8,682ce21b165a9eceeaa944c1
3,0,0,0,0,11,9,19,9,10,10,23,8,651035ad2ada965a5c9c87ab,6526ca3a7e8af960de678715,5eb82e4312c92a06cac8dcc1,609bc1566a1991b0d875fb35
4,0,0,0,0,14,17,8,10,16,10,17,12,63d46d8a90e399cfb7d022a5,608e5250c5d85ff31e28ba1a,63f79034370a105d5d57d9bd,66e4e41d14e1d19d88229740
5,0,0,0,0,18,13,8,8,11,16,8,10,5df0c64767a23610ed01d9c7,6425ffdf7fd742839b924ac5,6778488c18ed28950c7012ae,5c195dd90084c50001ed0ce5
6,0,0,0,0,19,24,17,16,21,17,17,18,5c5df0475b87820001c4f21c,5cc39aa64d7a7f0001817c43,666e0c9327fd060cb231509e,5da867d0b56fb70012271761
7,0,0,0,0,11,13,11,19,0,16,20,17,5bd4c1d09afb5b00015c5bdd,58b59f8ab3ae2f0001d349c8,5f5967d6e280e61b2db8e55c,62d6e05aa6e29b6019d107f3
8,0,0,0,0,9,2,9,19,11,7,9,16,67ec7012f63d646fa7f33bbf,574aff1b5bef980007af2745,63eec085b1d2e79ac4fbbd78,666f80f48abb3cef34ffc7ac
9,0,0,0,0,8,16,9,13,8,14,9,10,604a06acf362ce3bbf7b5106,5be92cf1ba2782000117743e,66f0b33cb7f6c2ae6ef72ef5,6723bc72ef861288d3aeb41d
10,0,0,0,0,11,16,24,9,16,17,17,8,6122aa68922140e22179d771,6642db87936f64e56b101a9b,67460cbb61e0f43f89d299dd,5d2476c58352f000153bbcd6
11,0,0,0,0,17,17,6,5,18,19,10,9,670c17328b2ef3366ba42a34,67607d21bc717101e04b41e7,675774540210b92e8a13c120,6093128985d75abc45b67290
12,0,0,0,0,9,27,16,4,13,16,18,19,6638dceb7a4c777c55da2b23,5e650e7afc8a902839459455,66a2398fc14d20aadb76bb7c,6762a1453b3bc252b8ea3bb8
13,0,0,0,0,16,11,22,4,19,10,18,5,6638e8aa3d1f38846080806a,5dee651e58776a51569d31f3,60e41cfd4919c5ac3979003b,672c2b25d6aa996ff3d8244f
14,0,0,0,0,14,13,24,3,9,13,19,8,55d7805c69dbc30012b67f32,6034cb7ee10e21aaad71814a,62e2928bfa1fe59815bc410b,6307f3c967020d1202332b77
15,0,0,0,0,8,10,17,13,10,12,4,8,679143553bf737e54b3c9bf4,673e2923ed2dd1f79b63d19d,5f2abd2599c656372b009d63,65206dec3978fc82fb925db9
16,0,0,0,0,26,12,17,9,17,17,21,10,5c670a430d80fd00014264f9,5b9c2c816f92f30001ecce7a,672b796c37931aebfec285d9,5ffd2c0699c3912436845113
17,0,0,0,0,2,12,16,10,8,11,17,17,661eadcb0c91013eff454429,6668a638ee51b4f1656862e8,62aa11e38f2e5735ff291c2b,5495fbf9fdf99b50089f79d8
18,0,0,0,0,16,15,18,16,16,8,21,16,5b8733a8dd068d0001be4a5f,5a8b61fcf1408d000176b02f,5f52971c271a0703d733031c,5ba81e70c2358e0001d27708
19,0,0,0,0,16,11,6,17,10,16,5,19,628f6f9fbdcc69c83cf85ff2,678e94e17366825eee42ca78,6661c9ae13d2c1b196d73a43,673a2e5c19acb60ac9b55bfb
20,0,0,0,0,5,3,24,17,2,7,18,14,66366f1058966314508ed6e4,67ba6209a0c1d8cdbc36fe90,5eefae66afa4e549ac714f73,5f98099d48060d0450394002
21,0,0,0,0,16,11,16,17,11,8,19,20,605e9cc770aa6d1947d02bfa,5f763e6e7632050c3712feac,665c195f916ba5d4eb3b2807,62ea1958011121255c2af25b
22,0,0,0,0,24,9,22,17,9,18,24,19,66baa686c8acf8f47f9055c8,5e62ece11e3088084e0039b8,5ad9b1111771b700010a0f1a,60ec54c58f88686dadb1a0c9
23,0,0,0,0,21,14,2,11,25,11,8,16,672a906471cc580fbbba6778,67479f0a737baf4c314da42d,6658c1554c1d2a4e2d02e301,66a4591c98b2677590fcdffb
24,0,0,0,0,22,24,1,20,18,10,6,24,55d7566869dbc3000eb66e5e,5a65ea8363394a000155745d,598f22af33481c000164d359,6658b161506a8a9c5f1e4b58
25,0,0,0,0,10,16,10,24,13,27,10,17,66bebe02e300bb97421dc376,66621a8b696f3ab9aa55b5da,676700ebaf4a1fdf1868d7c6,63e51bdade16b861346088b4
26,0,0,0,0,8,9,25,15,4,13,18,8,6628f4e77ba6d4332996845e,63fedbfe6ef7fb3dd2718f5c,65ce19460e109febcd8a155c,587144a7d6df7000018746d4
27,0,0,0,0,19,5,12,11,17,5,13,19,63d13edbfc31f4ecf0122017,68163494105a52da278c6100,6779ae6f3a8122e8a6d76bb6,5bb0e35556161d0001feccdc
28,0,0,0,0,14,17,9,4,12,8,9,0,66ff0c1f6db40c5adcc886c4,67f143504964cf3f7cb349cf,66227700b26cd7c01ca380af,62fb883acaed5d6d41e5fe0c
29,0,0,0,0,14,9,12,16,17,13,9,19,5d3bfbebfd9694001a2d0f99,597076ad965d930001322d01,5a791168f49c9a0001f31061,57c357770e6a1f00015f6038
30,0,0,0,0,19,17,10,8,26,17,10,11,5cef11e2b04fdd0016b177ce,5975ea651a800200011cd0f7,648343299ec8050d10aee27d,691e3e017a45c8d4acb37721
31,0,0,0,0,10,16,7,17,13,17,5,17,67740dc45be1bcdc911ee2fe,5ca6bbf13b5fcf00100996e9,682498beb28b43fa10e34496,67803b1dd21b0478468e5f9d
32,0,0,0,0,13,11,17,11,16,24,13,12,570d30d942a1db000fc4cf87,688a3b0f05d4c39570f85c2e,663a422b52cb5c270f98f3ff,5dad865e32175a0014451b20
33,0,0,0,0,19,16,8,11,19,0,8,17,66c448b8329f5db8fac65743,66c39523c807184f4582c50a,5e42c26bcea1861491e28258,6668549443fb0644822d5a65
34,0,0,0,0,11,7,25,6,16,9,20,9,5edfeebaecf5a0318788d731,63d13c9a4c0601c55747e64c,5b06efd1732c5d000154de23,604bbfc901b85fb02ae92c1a
35,0,0,0,0,10,18,4,20,11,16,4,16,5f218810dbe587339609aee4,62a2648755dec7ce4164f875,5e9c8deb90dd470441c7f98e,6323548b436fb6bb2948c920
36,0,0,0,0,16,3,5,11,17,10,10,13,6080359b7e55e8dbf21a225e,5bce03901f3317000110ad31,677db392d5b39cac125c8dfb,65270f12e13d598538a8340b
37,0,0,0,0,6,11,11,16,8,12,13,17,5a47c383e074d600013912cc,65a2cd1b1d1724a7eba41cd3,6081ca47eeed1bb51c1d7f7b,65b65fdfb1aba2f7325fa073
38,0,0,0,0,2,16,12,4,9,23,11,8,5a9fe0026219a30001f55a2c,67ac040a6ce6b5d96793ffb8,63e6a1e8f07b854462598a4b,59e7c8eabbb1380001621d28
39,0,0,0,0,27,9,24,8,18,12,26,10,5e84bd7c34d5d9072128fac1,5fce766c6304ad09d04a6689,60cff3ba91773f75c9504567,5c23c651d9435800010b7e48
40,0,0,0,0,21,13,9,21,17,9,12,16,66fd6acd36eb80a1ea468aed,66d9f094c75201b676af64e9,5a638fa6c0d836000107b8bc,5e1b167028c70234ecb478bf
41,0,0,0,0,12,5,17,20,17,10,10,16,5f6f9baca584d55393f7d016,663a8c84b8e7c046d854c8dd,66aa52de62c06e01a958d91c,60c961dd88bde0638e8ee828
42,0,0,0,0,16,14,12,3,16,11,14,2,59eb94bf77860e000151347a,5c3a93d61fe51600014cdb1c,647648baa82fb44bb109f367,67ed75fa0c2423e85f8b3c8b
43,0,0,0,0,24,12,16,24,17,13,12,17,6276d97e209059496d37bf74,5c39f0c686c1450001a983c4,667da6ac378a8883e9c20227,65e5ec7c5cc8e775d79139b5
44,0,0,0,0,9,18,18,24,8,17,23,22,6155dbf32ea3ee65aaf0ce9b,6658cd07d45dca942abbf1c0,6166c0eb123b6e8b34628249,63f87480149da1634d6c4464
45,0,0,0,0,10,20,10,24,9,24,13,13,66f4208475ec557757cbc6b0,60d203969a93bbfcd7891472,67d29732f4c73016f59056f6,6104b03b594162bfe102b6e8
46,0,0,0,0,10,10,2,16,11,15,4,10,67a43cefab8f115da774ebc0,65b98fe25e75b5acc3f44626,675b0f84a2fda9f6b719cc3e,6679d012158715ae2d03a3f7
47,0,0,0,0,9,8,5,8,10,16,12,9,67769241493edf11292d6766,655b6992cfadb38c5e155316,6615d2264e4143b2a0c983d6,5cf16528d02943001a98f4e0
48,0,0,0,0,10,9,3,11,8,9,8,9,67801e07039915c53c217039,678a8c8f9b7824d90ce100d0,67ddbba0fa5e1ce984f9fb87,6116f994419d66823ecd35b0
49,0,0,0,0,11,8,16,32,12,9,13,20,6712797bbbad3b8abcebac83,680c69b6987f51e807cde0df,660460162a2b3e5c554cf140,5f8d88be68198208a829cd5f
50,0,0,0,0,18,8,16,4,10,12,13,5,5ed559e5afbd830e2117ed55,67df93c834bcccef57e0e5b8,58277a9ac297cc0001f2dd79,5e987098f1bb6707dca13f5b
51,0,0,0,0,8,16,2,11,8,8,8,12,5c101f812a1a620001f04007,613649a53983ccaa8dc65ae6,66082dbd14e7571e8a15d5ba,65e74f3dd1cf1c6869f7af37
52,0,0,0,0,20,5,12,19,16,4,13,16,6612eae68ccfbae62a843c43,67e6b4c78b8b457f3bc6a866,60fdb9855b7e1fb91772930c,66c003d8dcb57b6919043132
53,0,0,0,0,15,9,11,8,16,16,3,19,66293ed80880983c3dc9806d,5fb2ba6d5ac8a2924777eb4e,5dac7eaa59f37100128372d5,67110a0f39facf3288e299e3
54,0,0,0,0,8,13,18,12,11,17,25,11,677a5d8e2115bfbb2fa0c73c,6655db311197ee4438d05964,671d714b78c1624a723ee251,59637ac5d6b02c0001439808
55,0,0,0,0,14,24,11,12,12,12,16,10,6664aff313672880c2b0ba59,66855ff6755a311dada39b28,612399c71548ff3b47e406e8,6716152e33a2af901d7e9196
56,0,0,0,0,17,6,28,4,11,14,25,13,66cf368865143e842d98389d,59b6fc6662b30d0001b7a8bb,676afbdcf204d0ab9df03494,66fe2b2e6b5cc7c51cb9760e
57,0,0,0,0,26,12,17,8,17,11,13,9,62b2c25fa2e87e7ed2da2b87,605e1fc0be766e80d0104df3,647090588c2da260a10bde21,673745e84a5323a820408a6f
58,0,0,0,0,10,16,25,20,12,16,18,17,607081b0ecb2499634a349dd,58954e2dc88c680001dd4b7e,628ba14a5755fc2f7ceca284,5ef1d36c38e1867e665fe8a1
59,0,0,0,0,16,4,18,20,14,9,9,12,67684884f9b0e84164101197,630d1aea50e36df79c80f34f,663eaf71449fd111b8647d15,65e729bda61d35956dfd5316
60,0,0,0,0,8,12,11,20,13,9,11,18,67e9746f70f9c5bd07f49c26,678967766af8f51e08627049,5e9a2251a69f690b9cc31ede,67d3505b72bc669e9689b08a
61,0,0,0,0,10,18,15,10,9,26,21,11,5f155b98b1393b000d6bf745,66cc7271fc697fe40b2ff3ad,5bb0c112a1c73d0001b9ce9e,5c77d238e926fc00170b4975
62,0,0,0,0,9,24,18,16,13,17,8,14,68220e9d55ef24c1be74223c,60147144ea1597492e5c6698,65c1501098be0f409188762f,5ebcfff7dd01e202809f3887
63,0,0,0,0,10,12,9,20,14,19,11,12,66796f2ac7e4c67f232073c1,6128fcdba582c609912c82f5,672a556afa8f0c44bda988b3,62d6f9a16cfbc3842bfc888a
64,0,0,0,0,13,9,14,17,8,8,13,17,654e555a3a0310fc21aee9ce,677e66aeda5ddb35145c52eb,66958688126ae60131512012,6315faf8288fc830449ffd3d
65,0,0,0,0,17,24,9,14,16,21,9,5,62e048dfdad3b6080f9a0b0c,6103082117238ae6d0c3e805,66acf7e114ccc48c4f7f9594,66cc9759889bbbbc81fc0356
66,0,0,0,0,15,26,18,6,11,27,20,4,5694e7b5e0c800000b5a3841,66c9da3e822db63cca285957,663ac9d48df292379f14ff66,59c843b646f72100019067ce
67,0,0,0,0,15,12,9,5,17,16,12,12,641397a5ea8f5954ad10fceb,62e7357284e65421d8f8b10f,66956ab371a84d32198ee4f1,62d21a095ad69a4459f6d664
68,0,0,0,0,9,16,16,18,10,16,16,10,6733368957d5aa7c1e2556b7,5e9f877ee0b0960f3d2b6d30,5cf5497696cde00015bc3ce7,664dad1672f2f70e4aa2a012
69,0,0,0,0,10,9,19,9,12,11,19,11,62e1854f1226462b9370ce1f,682c3f62f2680e9a67130379,5885129a6907b40001de425a,65707ef834f5c6af96da98ce
70,0,0,0,0,16,16,3,14,24,15,3,10,6630eab692cb0827e3e0c1b7,6773d867d323cb31f47f2bff,65b9014f6affc3519e87b338,57dc437d89fea70001729482
71,0,0,0,0,16,1,19,9,11,0,18,8,644940c6c6b71b43c2f0d552,66ba8e22fb9562e2c1213835,5a2adf6a8e00a000019864fb,5d697ea28572fc000126b779
72,0,0,0,0,17,6,16,19,18,14,14,25,5c48ec2d91d23d0001b8b3fb,6752993adafe95d86087831b,66e8b1b59be9621d5b1ecdb2,58f669cefb4d7500014af69b
73,0,0,0,0,18,2,9,18,20,14,13,17,66f99b8e907d2350127aa0ae,6676de84b74db82737117749,5aa6fcaa1ade740001b9730b,67ae48588905f3d80ad57864
74,0,0,0,0,18,10,20,16,25,16,17,10,67506c9140f7ec4223d6c7be,5ad12914b438910001ac9638,5f2f1f80314d56309186caa1,671bcbdd819357115fa0917d
75,0,0,0,0,24,8,23,12,19,13,11,18,60a83dbee5c20de028a5a9a6,651b29ff3a6cadf518640abe,6102eb5ae34c003d0172c3cf,671e55aeca0216c5762de35a
76,0,0,0,0,8,11,26,7,16,12,18,10,617014c0e38ec2082cd31849,5e6fabc4f3fe5202f1346543,5d1e3a4851bab9000116226f,5c005c133f6fe400013853a0
77,0,0,0,0,0,12,10,16,11,16,8,11,62dc3847e0742087b3033fe5,6786c7d17bc067f2f666cbed,60029445bb11311e25e6f16c,6665f451f540ce3f2b051bb0
78,0,0,0,0,9,8,8,18,16,9,11,12,666640831e2f8d963f8c528f,62e25115fb932baf4a93173f,6784707867e6488ef06f833d,6740a7474c623fa5738fda70
79,0,0,0,0,5,9,24,12,8,10,12,18,6772635d620fb499e8d268e6,661db80aebfb3f4250cf72e5,5a9493ce873cda0001dc6dfb,67e8aa454848956e5e32c19d
80,0,0,0,0,26,24,10,24,20,18,16,18,62b628e4351d179f1ff6cc59,5ade558c066c510001d43615,6775c5ef1f8667141b32c256,614b44224f28be10f5b5d4ed
81,0,0,0,0,10,3,8,13,1,9,20,14,6568b0b4e9cc3024c09286f9,5b48d7af390574000126e4ba,614851420684860d885f8b29,634d72a4b1dc5f197ac4b8c6
82,0,0,0,0,10,5,13,8,12,4,23,16,67a9da49f62daef62d4f4d5c,56e344c0e414dc000c8b4268,5ebe6dacb790b80008679d0e,5bd075779afb5b00015b6791
83,0,0,0,0,9,11,16,10,2,10,18,12,678c21297d5530210477d1ec,57c304c04814b5000171d4ce,5d2e0db5649703001a9c9028,663cb982130f1384c9988214
84,0,0,0,0,16,16,11,18,16,17,10,16,63d4f0d207ffd2b65d11bed8,63468af37b3dfa433e101723,6685edfed53019929829885d,677fb35eafd357a07e351a9f
85,0,0,0,0,10,21,3,17,18,16,1,20,6099773f09e28ae2baa101bb,66472012c86df53542876f2a,5d4c7acd2799110019400b6a,6658b7f8aab263fcab6c8f97
86,0,0,0,0,16,12,16,12,9,3,24,16,62e40abe71c1b7e395e9bf4a,640e2036e0ad54ebd72a767d,6342679e9890a58b5f8d2965,59a734ce0c87a000017481ed
87,0,0,0,0,16,20,16,17,8,28,18,17,665a412fbb922e2170765bf8,6627e9873aef6d7fe74ec026,668e256e72fec0873be580cd,6285096cd291e26985ef7ad4
88,0,0,0,0,16,16,8,24,16,11,14,18,6677328704eab5e142f81a4c,6786cd2f6379519962f2542c,67352889b3b5e7bc6bb4981b,669a431df516aa06fd2f355e
89,0,0,0,0,20,2,18,14,20,8,20,8,5d88db42c1d06e001a1fdcab,66cdd69d50b73bddd9f40fa1,68f1826e7501d9f0e3b3b8ce,674d0c9931af0d6d38954d78
90,0,0,0,0,0,8,16,19,11,16,16,16,6447a78c4b1bef1d4b5b3d44,67693b69371357770f713607,66f7169a8a3b99bf5a0dd054,5bb58e338f3bd70001e5df57
91,0,0,0,0,8,18,5,9,16,21,13,11,66cc8edbd49e08c985d8e3fa,5e56394128394d000a452ba6,6510652e8c348ca500c8677c,674717a763d9861bd9aafec8
92,0,0,0,0,8,7,10,9,8,11,1,9,66a831d910e0a2b141015591,656896c5fc28619e730f3b8a,67819f666062825529fe313e,673b9546320df37633fc08f1
93,0,0,0,0,8,10,18,16,11,10,12,12,6664c7aa5c1c7846d3618f74,67bf8696b3b7e7a95c9cd9bf,5f4538b6ffe9f50c3cbe3ae1,6058e58ad1de5339825e2ec6
94,0,0,0,0,10,17,2,16,19,17,2,10,6696a3b921e4f92ad108eff3,57a36f499bd3d70001e5230e,65b4119249cf00e3f709ee6d,6887a12b580572a4cf063538
95,0,0,0,0,16,10,8,16,20,6,16,12,5ba88ccbdd59150001381091,61718d5a91c07b60dcc57a8e,60270aa773830e4b00f91968,663f6d9dbe5335a23d60081a
96,0,0,0,0,3,24,18,8,3,14,21,17,6175c5e3f8c378f922c7c7bd,5b844bb6db11320001c56ca3,665878c4c6a8550a4b499b05,64b1fcf39321437ac4ebaa8f
97,0,0,0,0,13,16,11,4,16,13,16,17,6234ad50fbfc7c32f4687eee,5adc95a1066c510001d410d7,66686462a0a88f628ca1423c,5be1c6db93cab6000123baf9
98,0,0,0,0,15,16,21,16,13,9,18,16,678f6e1f6a3d68ee8c1533f5,664423f62228d52a75ce239c,6310dd3d80bd9d026ec14c48,66e4fc9c0c958246837a6941
99,0,0,0,0,5,14,11,19,8,14,13,16,62e0715747189999644b9868,5fac4dc60d67201ffe756ca1,676643422e10376fff695059,63672693c8f402f62b4c54f9
100,0,0,0,0,12,12,13,10,11,13,10,13,6765acfbe411efcdcbf3f161,6658ca018e28e3383feae8e9,5cb67a7ab73e8a001507fae5,63c5869714c648472e253347
