groupid,gender1,gender2,gender3,gender4,round2score1,round2score2,round2score3,round2score4,round3score1,round3score2,round3score3,round3score4,id1,id2,id3,id4
441,0,0,0,0,11,16,11,20,8,16,18,17,66eb6c8fa849bf3858fa0dd8,664124a221f88b6a260a3df3,5fc3442312bc5917b8341963,654e42ed750e4e81219b2c0e
442,0,0,0,0,18,14,11,19,18,16,19,16,5bfd2d6b8acfed00011a5c89,5fcb9cf318ab23920952fc3c,68a700bfe080729e6185e49b,60fc47a77f054a5c6b167d70
443,0,0,0,0,18,19,16,2,22,20,12,12,63d0e55975e5beb4cdb7b188,664f981df57fbde44311256b,5eef2245f9461b073e20f386,5f833576d62eab0b52cbe955
444,0,0,0,0,10,4,22,23,13,11,13,26,677299ebbff623812504a11d,622b8b6947c63363d00dc716,5bdf514805ba8e0001965d25,59cf062758b71700019882d4
445,0,0,0,0,12,23,20,9,10,22,28,0,57dc590ddcda780001a0e157,5a4ff22bacc75b000179b0e9,55dbdc9d50a1f7001190d753,657228e3073464323075c94b
446,0,0,0,0,16,16,13,8,10,27,16,9,6914e46e8b6a47be335a6ce7,66cf40a29f72528d5f3c752e,5d88884b6ad33a00187854e7,5acddd6cfa3b4e000173db88
447,0,0,0,0,25,18,23,14,24,14,25,24,691ca29481630b40cc23702c,5f2016b023978b04f9679bec,5e42a1011f44d312c605e647,5e5731e3e1e8b90e25c1f3a2
448,0,0,0,0,17,14,11,18,27,17,26,19,5e0e1b8800a6bf000a694f79,67619ae5b0f40519f6c31912,6104d73b7cdac0a47a905f0d,5fb2a9c341eec68ea25fac87
449,0,0,0,0,24,20,19,16,19,16,20,25,62c423e2a70011a58059d198,664e381ed2536b7b8d8dbbb0,64136981aa9af9154f69c8d7,6317466e77a46dec7e2909b4
450,0,0,0,0,9,1,17,15,10,5,9,12,67f02740d233a50f479c4e20,67504cbfdf88ccdaa1888ff2,650cc3f8246b2683c23b5b50,5baa7acf14779d0001a23968
451,0,0,0,0,4,12,8,5,8,24,11,6,5ebd5fa512c47d04402403da,676b212b71c5c82db2101ad0,67d495f3fc4fd53e1c6be5db,673b1359d4a110d4ef515552
452,0,0,0,0,14,19,18,12,16,16,24,10,5ee5b8930f2771312c3b822f,67a391d2ec188c0684a9c2a5,650b2ee81386e0c27f7efe26,66e7853b4e311a12f93b5411
453,0,0,0,0,12,16,8,17,8,15,10,11,5cadbee8470c560001de5739,5a528b50eedc320001420db8,67790b473a8122e8a6d74a2e,610aba9d57e9ccd056ae5d01
454,0,0,0,0,21,4,25,12,19,12,20,16,66049315b5c325fdaafea8fa,67e089199b2161a43c738b97,567b073bb7d79a0005b270bd,678a406859e436e14f1b1deb
455,0,0,0,0,11,2,13,11,16,16,14,9,66003d4027f04e51b0dc377f,6663756e03c74dea6837a82b,5e96fb81d86e5003475be4fc,5d4acbc3cfe6e90001ad87c9
456,0,0,0,0,16,18,10,13,20,10,8,7,5c69a12bb1b0080001bfca6a,650d9650bb81532e8e16d578,6747255c14ce5039234c6c96,5c377642bc6444000133aae9
457,0,0,0,0,24,0,17,16,25,24,16,16,65c637e0e76b878b89b9bae2,63bdb28477d13af963aec184,6110f6170e61781607d7af23,664320ce44b1f781551bcb41
458,0,0,0,0,10,9,21,17,18,11,25,21,6633fa4ebe0a692fc1a5f422,580552940f97120001734ea2,676c67883fa1ba4ea4eb05a7,5f53b73f18bf9a6ed513ca61
459,0,0,0,0,19,10,6,10,28,10,8,10,60e769ec9858960e8ad00886,5e6011c399b03c35f69a53d8,6765e63b9cbc0ec185d7e8fa,63f46b97140756e0178e60be
460,0,0,0,0,12,10,3,5,17,22,10,10,5c137417d47b00000149f6ae,6127b32b912465823dca1e4b,6736619dda67d9956b9b95fc,59400f1c6b84600001e76c13
